"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish Green Party","ScottishGreens","2021-03-17 15:19:03 CET","There are only 50 days until the Scottish election! Help us to build a fairer, greener Scotland. Join our mailing list today: https://greens.scot/sign-up 💚🏴󠁧󠁢󠁳󠁣󠁴󠁿",28,1,3,"https://www.facebook.com/17999726169/posts/10159152643966170"
"Scottish National Party (SNP)","theSNP","2021-03-17 15:15:15 CET","❌ Westminster’s priorities aren’t Scotland’s. 💷 While they waste money on Trident, we’re acting to protect and enhance children’s rights. 👇 Ian Blackford: “Our children have the right to a future that no longer lives under the shadow of these weapons of mass destruction.”",1726,946,579,"https://www.facebook.com/77249349077/posts/10159336516489078"
"Scottish Green Party","ScottishGreens","2021-03-17 12:55:11 CET","📈 The polls show that this year could see a record result for the Scottish Greens. But we can't do it without you. If you can, please support our campaign and help us to build a fairer, greener Scotland. https://members.greens.scot/donate 🌈💚🏴󠁧󠁢󠁳󠁣󠁴󠁿",21,0,2,"https://www.facebook.com/17999726169/posts/10159152414701170"
"Scottish Conservatives","ScottishConservatives","2021-03-17 12:30:07 CET","Conservative MP David Davis has revealed information suggesting that Nicola Sturgeon's chief of staff tried to 'interfere' in the Alex Salmond investigation - TWO MONTHS before Sturgeon said she found out about it. The SNP must come clean about what they knew and when.",923,548,247,"https://www.facebook.com/136308776480/posts/10157825282431481"
"Scottish Green Party","ScottishGreens","2021-03-17 11:25:00 CET","⌛There are only 50 days until the election, and we are asking you to vote like our future depends on it. But we can't do it without your help. If you can, please support our campaign: https://members.greens.scot/donate 💚🏴󠁧󠁢󠁳󠁣󠁴󠁿",32,0,2,"https://www.facebook.com/17999726169/posts/10159152231486170"
"Scottish Green Party","ScottishGreens","2021-03-17 10:09:51 CET","Mark Ruskell: ""Subsidies for the oil and gas sector is not an investment in a green recovery, it’s throwing more money at the problem."" #ClimateCrisis",20,5,4,"https://www.facebook.com/17999726169/posts/10159152226656170"
"Scottish Green Party","ScottishGreens","2021-03-17 09:00:01 CET","🚨There are only 50 days until the Scottish election.🚨 We are asking you to vote like our future depends on it. Vote for the Scottish Greens.",106,16,26,"https://www.facebook.com/17999726169/posts/10159150602686170"
"Scottish Conservatives","ScottishConservatives","2021-03-17 00:20:55 CET","Here’s the barnstorming David Davis speech that everyone is talking about. Make sure everyone you know sees this👇 The Scottish Conservatives will keep the pressure on Nicola Sturgeon for lying to Parliament.",1259,410,659,"https://www.facebook.com/136308776480/posts/10157824508441481"
"Scottish National Party (SNP)","theSNP","2021-03-16 22:44:09 CET","👶 The Scottish Parliament today voted to enshrine the UN Convention on the Rights of the Child into Scots Law, delivering a revolution in children's rights. 📣 @MareeToddMSP: “In the words of Lady Bird Johnson, ‘children are likely to live up to what you believe of them’. I believe in Scotland’s children.""",798,478,333,"https://www.facebook.com/77249349077/posts/10159335183964078"
"Scottish Conservatives","ScottishConservatives","2021-03-16 22:13:48 CET","David Davis has just revealed more devastating information about the Salmond scandal. He said that Nicola Sturgeon's chief of staff tried to 'interfere' in the investigation. Full statement from Scottish Conservative leader Douglas Ross here 👇 “If the First Minister’s side were aware of complaints against Alex Salmond in February 2018, an outrageous breach of those women’s privacy and confidentiality has occurred. “February 2018 is also two months before Nicola Sturgeon originally claimed to find out about complaints. If her chief of staff knew then, and was interfering in the investigation, it blows another enormous hole in the First Minister’s story. “If civil servants said the First Minister’s chief of staff was interfering in the investigation in a ‘very bad’ way, then that is a sacking offence. It raises serious questions about how she tried to interfere, how she found out, who told her, when she knew, and who she went on to tell. “It further raises the question if anyone told Nicola Sturgeon that her chief of staff was interfering in the investigation. If they did, a number of lies have been told to the Scottish Parliament. If they didn’t, it still makes Nicola Sturgeon’s story of when she claims to have found out about complaints even more implausible. “These are all ‘ifs’. We need Nicola Sturgeon to immediately confirm or deny these new allegations, and to agree to release the evidence that has been cited this week.”",1179,774,287,"https://www.facebook.com/136308776480/posts/10157824320876481"
